Name,Coingecko,Rank,Market Cap,Platform,Contract,Address,Origin,Origin Address
Collab.Land,https://www.coingecko.com/en/coins/collab-land,1451,2689190,optimistic-ethereum,TransparentUpgradeableProxy,https://optimistic.etherscan.io/address//0x8b21e9b7daf2c4325bf3d18c1beb79a347fe902a,optimistic-ethereum,0x8b21e9b7daf2c4325bf3d18c1beb79a347fe902a
Qi Dao,https://www.coingecko.com/en/coins/qi-dao,1492,2476887,optimistic-ethereum,EditableERC20,https://optimistic.etherscan.io/address//0x3f56e0c36d275367b8c502090edf38289b3dea0d,polygon-pos,0x580a84c73811e1839f75d86d75d88cca0c241ff4
RadioShack,https://www.coingecko.com/en/coins/radioshack,1515,2398253,optimistic-ethereum,RadioToken,https://optimistic.etherscan.io/address//0xf899e3909b4492859d44260e1de41a9e663e70f5,polygon-pos,0x613a489785c95afeb3b404cc41565ccff107b6e0
Beethoven X,https://www.coingecko.com/en/coins/beethoven-x,1595,2007221,optimistic-ethereum,AnyswapV6ERC20,https://optimistic.etherscan.io/address//0x97513e975a7fa9072c72c92d8000b0db90b163c5,fantom,0xf24bcf4d1e507740041c9cfd2dddb29585adce1e
OATH,https://www.coingecko.com/en/coins/oath,1669,1759590,optimistic-ethereum,AnyswapV6ERC20,https://optimistic.etherscan.io/address//0x39fde572a18448f8139b7788099f0a0740f51205,fantom,0x21ada0d2ac28c3a5fa3cd2ee30882da8812279b6
BUILD,https://www.coingecko.com/en/coins/build,1695,1658210,optimistic-ethereum,BuildToken,https://optimistic.etherscan.io/address//0xe4de4b87345815c71aa843ea4841bcdc682637bb,binance-smart-chain,0x83b27de2fca046fa63a11c7ce7743de33ec58822
Mummy Finance,https://www.coingecko.com/en/coins/mummy-finance,1754,1487121,optimistic-ethereum,AnyswapV6ERC20,https://optimistic.etherscan.io/address//0x47536f17f4ff30e64a96a7555826b8f9e66ec468,fantom,0x01e77288b38b416f972428d562454fb329350bac
O3 Swap,https://www.coingecko.com/en/coins/o3-swap,1831,1295449,optimistic-ethereum,O3,https://optimistic.etherscan.io/address//0xee9801669c6138e84bd50deb500827b776777d28,binance-smart-chain,0xee9801669c6138e84bd50deb500827b776777d28
Reunit Wallet,https://www.coingecko.com/en/coins/reunit-wallet,1833,1291361,optimistic-ethereum,OFT,https://optimistic.etherscan.io/address//0x9ed7e4b1bff939ad473da5e7a218c771d1569456,arbitrum-one,0x9ed7e4b1bff939ad473da5e7a218c771d1569456
Overnight.fi USD+,https://www.coingecko.com/en/coins/usd,612,23809297,zksync,,https://explorer.zksync.io/address//0x8e86e46278518efc1c5ced245cba2c7e3ef11557,polygon-pos,0x236eec6359fb44cce8f97e99387aa7f8cd5cde1f
Metavault Trade,https://www.coingecko.com/en/coins/metavault-trade,1344,3344535,zksync,,https://explorer.zksync.io/address//0xc8ac6191cdc9c7bf846ad6b52aaaa7a0757ee305,polygon-pos,0x2760e46d9bb43dafcbecaad1f64b93207f9f0ed7
Beefy,https://www.coingecko.com/en/coins/beefy-finance,569,27363072,metis-andromeda,,https://andromeda-explorer.metis.io/address//0xe6801928061cdbe32ac5ad0634427e140efd05f9,binance-smart-chain,0xca3f508b8e4dd382ee878a314789373d80a5190a
MAI,https://www.coingecko.com/en/coins/mimatic,583,26236480,metis-andromeda,,https://andromeda-explorer.metis.io/address//0xdfa46478f9e5ea86d57387849598dbfb2e964b02,polygon-pos,0xa3fa99a148fa48d14ed51d610c367c61876997f1
Hera Finance,https://www.coingecko.com/en/coins/hera-finance,893,11199537,metis-andromeda,,https://andromeda-explorer.metis.io/address//0x6f05709bc91bad933346f9e159f0d3fdbc2c9dce,metis-andromeda,0x6f05709bc91bad933346f9e159f0d3fdbc2c9dce
Hermes Protocol,https://www.coingecko.com/en/coins/hermes-protocol,1779,1424278,metis-andromeda,,https://andromeda-explorer.metis.io/address//0xb27bbeaaca2c00d6258c3118bab6b5b6975161c8,metis-andromeda,0xb27bbeaaca2c00d6258c3118bab6b5b6975161c8
Tethys Finance,https://www.coingecko.com/en/coins/tethys-finance,1781,1419412,metis-andromeda,,https://andromeda-explorer.metis.io/address//0x69fdb77064ec5c84fa2f21072973eb28441f43f3,metis-andromeda,0x69fdb77064ec5c84fa2f21072973eb28441f43f3
Ethos Reserve Note,https://www.coingecko.com/en/coins/ethos-reserve-note,1258,4089867,linea,,https://explorer.linea.build/address//0xa334884bf6b0a066d553d19e507315e839409e62,optimistic-ethereum,0xc5b001dc33727f8f26880b184090d3e252470d45
